District,Department,Programme,Output class,Output,Item,Approved Budget for FY 2017/18 Total,Approved Budget Estimates for FY 2018/19 Wage,Approved Budget Estimates for FY 2018/19 Non Wage,Approved Budget Estimates for FY 2018/19 Gou Dev,Approved Budget Estimates for FY 2018/19 Donor,Approved Budget Estimates for FY 2018/19 Total
Bududa District,Natural Resources,0983 Natural Resources Management,01  Higher LG Services,"098310 Land Management Services (Surveying, Valuations, Tittling and lease management) ","227004 Fuel, Lubricants and Oils",0,0,"2,000",0,0,"2,000"
Bududa District,Natural Resources,0983 Natural Resources Management,03  Capital Purchases,098372 Administrative Capital,312202 Machinery and Equipment,"61,807",0,0,0,0,0
Bududa District,Natural Resources,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,312104 Other Structures,0,0,0,"20,000",0,"20,000"
Bududa District,Natural Resources,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,312213 ICT Equipment,0,0,0,"8,500",0,"8,500"
Bududa District,Natural Resources,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,312301 Cultivated Assets,0,0,0,"3,500",0,"3,500"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,211101 General Staff Salaries,"174,349",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,"221007 Books, Periodicals  Newspapers",980,0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,221008 Computer supplies and Information ,712,0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,221009 Welfare and Entertainment,"2,016",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,"221011 Printing, Stationery, Photocopying and ","2,249",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,221014 Bank Charges and other Bank related costs,"1,278",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,223005 Electricity,800,0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,227001 Travel inland,"2,011",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,"227004 Fuel, Lubricants and Oils","1,000",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,228001 Maintenance - Civil,700,0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,228002 Maintenance - Vehicles,"1,000",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108101 Operation of the Community Based Sevices Department ,228004 Maintenance ±Other,300,0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108102 Probation and Welfare Support ,221002 Workshops and Seminars,"1,000",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108102 Probation and Welfare Support ,227001 Travel inland,600,0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108102 Probation and Welfare Support ,"227004 Fuel, Lubricants and Oils","1,000",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108103 Social Rehabilitation Services ,221002 Workshops and Seminars,"2,000",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108103 Social Rehabilitation Services ,227001 Travel inland,750,0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108103 Social Rehabilitation Services ,"227004 Fuel, Lubricants and Oils",500,0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108104 Community Development Services (HLG),211101 General Staff Salaries,0,"173,708",0,0,0,"173,708"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108104 Community Development Services (HLG),211103 Allowances,0,0,"4,000",0,0,"4,000"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108104 Community Development Services (HLG),221002 Workshops and Seminars,0,0,"1,800",0,0,"1,800"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108104 Community Development Services (HLG),221014 Bank Charges and other Bank related costs,0,0,237,0,0,237
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108104 Community Development Services (HLG),227001 Travel inland,"3,000",0,"4,000",0,0,"4,000"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108104 Community Development Services (HLG),"227004 Fuel, Lubricants and Oils",0,0,"2,250",0,0,"2,250"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108104 Community Development Services (HLG),282101 Donations,0,0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108105 Adult Learning,211103 Allowances,0,0,"6,000",0,0,"6,000"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108105 Adult Learning,221002 Workshops and Seminars,"3,600",0,"4,000",0,0,"4,000"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108105 Adult Learning,227001 Travel inland,"6,400",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108107 Gender Mainstreaming ,221002 Workshops and Seminars,"1,617",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108107 Gender Mainstreaming ,227001 Travel inland,0,0,"1,630",0,0,"1,630"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108108 Children and Youth Services,221002 Workshops and Seminars,0,0,"1,600",0,0,"1,600"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108108 Children and Youth Services,"227004 Fuel, Lubricants and Oils",0,0,"1,000",0,0,"1,000"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108109 Support to Youth Councils ,221002 Workshops and Seminars,"21,735",0,"8,200",0,0,"8,200"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108109 Support to Youth Councils ,221008 Computer supplies and Information ,650,0,638,0,0,638
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108109 Support to Youth Councils ,227001 Travel inland,"2,388",0,"2,200",0,0,"2,200"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108109 Support to Youth Councils ,"227004 Fuel, Lubricants and Oils","2,800",0,"12,131",0,0,"12,131"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108109 Support to Youth Councils ,282101 Donations,"381,374",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108110 Support to Disabled and the Elderly ,221002 Workshops and Seminars,0,0,"2,250",0,0,"2,250"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108110 Support to Disabled and the Elderly ,227001 Travel inland,0,0,"3,000",0,0,"3,000"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108110 Support to Disabled and the Elderly ,282101 Donations,"18,247",0,"16,000",0,0,"16,000"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108111 Culture mainstreaming ,221009 Welfare and Entertainment,"1,000",0,"9,000",0,0,"9,000"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108113 Labour dispute settlement ,221002 Workshops and Seminars,0,0,800,0,0,800
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108114 Representation on Women's Councils,221002 Workshops and Seminars,"4,259",0,"4,052",0,0,"4,052"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108114 Representation on Women's Councils,"221011 Printing, Stationery, Photocopying and ","2,180",0,800,0,0,800
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108114 Representation on Women's Councils,221014 Bank Charges and other Bank related costs,0,0,900,0,0,900
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108114 Representation on Women's Councils,227001 Travel inland,"2,500",0,"3,000",0,0,"3,000"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108114 Representation on Women's Councils,"227004 Fuel, Lubricants and Oils","3,000",0,"7,200",0,0,"7,200"
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108114 Representation on Women's Councils,228002 Maintenance - Vehicles,"1,000",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108114 Representation on Women's Councils,282101 Donations,"145,500",0,0,0,0,0
Bududa District,Community Based Services,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,314201 Materials and supplies,0,0,0,"425,166",0,"425,166"
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,211101 General Staff Salaries,"31,163","33,863",0,0,0,"33,863"
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,213001 Medical expenses (To employees),0,0,0,0,0,0
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,"213002 Incapacity, death benefits and funeral ",0,0,0,0,0,0
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,221002 Workshops and Seminars,0,0,0,0,0,0
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,"221007 Books, Periodicals  Newspapers",400,0,600,0,0,600
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,221008 Computer supplies and Information ,"2,000",0,0,0,0,0
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,221009 Welfare and Entertainment,800,0,700,0,0,700
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,"221011 Printing, Stationery, Photocopying and ","2,500",0,700,0,0,700
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,221012 Small Office Equipment,300,0,500,0,0,500
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,222001 Telecommunications,600,0,700,0,0,700
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,222003 Information and communications ,320,0,"1,200",0,0,"1,200"
Bududa District,Planning,1383 Local Government Planning Services,01  Higher LG Services,138301 Management of the District Planning Office,227001 Travel inland,"2,800",0,"1,693",0,0,"1,693"
